audio_ref-1_1,audio_ref-1_2,audio-1_1,audio-1_2,audio-1_3,audio-1_4,audio-1_5,audio-1_6,audio-1_7,audio-1_8,audio-1_9,text-1,audio_ref-2_1,audio_ref-2_2,audio-2_1,audio-2_2,audio-2_3,audio-2_4,audio-2_5,audio-2_6,audio-2_7,audio-2_8,audio-2_9,text-2
p274/ref/p274_261.wav,p274/ref/p274_114.wav,p274/mask-FT/mask/p274_031-epoch=5-batch_idx=0.wav,p274/FT-mask/FT/p274_031-epoch=0-batch_idx=0.wav,p274/joint/joint/p274_031-epoch=13-batch_idx=0.wav,p274/FT-mask/mask/p274_031-epoch=5-batch_idx=0.wav,p274/libri_mask-FT/FT/p274_031-epoch=7-batch_idx=0.wav,p274/mask-FT/FT/p274_031-epoch=6-batch_idx=0.wav,p274/raw/p274_031.wav,p274/libri_mask-FT/libri_mask/p274_031-epoch=6-batch_idx=0.wav,p274/recon/p274_031.recon.wav,mr darling yesterday dismissed the criticism.,p308/ref/p308_352.wav,p308/ref/p308_268.wav,p308/libri_mask-FT/libri_mask/p308_206-epoch=6-batch_idx=0.wav,p308/recon/p308_206.recon.wav,p308/mask-FT/FT/p308_206-epoch=6-batch_idx=0.wav,p308/joint/joint/p308_206-epoch=14-batch_idx=0.wav,p308/FT-mask/FT/p308_206-epoch=3-batch_idx=0.wav,p308/FT-mask/mask/p308_206-epoch=6-batch_idx=0.wav,p308/mask-FT/mask/p308_206-epoch=5-batch_idx=0.wav,p308/libri_mask-FT/FT/p308_206-epoch=9-batch_idx=0.wav,p308/raw/p308_206.wav,he now describes himself as scottish labour.
p225/ref/p225_275.wav,p225/ref/p225_191.wav,p225/mask-FT/FT/p225_179-epoch=6-batch_idx=0.wav,p225/libri_mask-FT/FT/p225_179-epoch=8-batch_idx=0.wav,p225/mask-FT/mask/p225_179-epoch=5-batch_idx=0.wav,p225/joint/joint/p225_179-epoch=10-batch_idx=0.wav,p225/FT-mask/mask/p225_179-epoch=6-batch_idx=0.wav,p225/libri_mask-FT/libri_mask/p225_179-epoch=7-batch_idx=0.wav,p225/FT-mask/FT/p225_179-epoch=0-batch_idx=0.wav,p225/raw/p225_179.wav,p225/recon/p225_179.recon.wav,they know no other way.,p294/ref/p294_270.wav,p294/ref/p294_299.wav,p294/FT-mask/FT/p294_157-epoch=0-batch_idx=0.wav,p294/mask-FT/mask/p294_157-epoch=5-batch_idx=0.wav,p294/libri_mask-FT/libri_mask/p294_157-epoch=6-batch_idx=0.wav,p294/recon/p294_157.recon.wav,p294/mask-FT/FT/p294_157-epoch=6-batch_idx=0.wav,p294/raw/p294_157.wav,p294/libri_mask-FT/FT/p294_157-epoch=7-batch_idx=0.wav,p294/FT-mask/mask/p294_157-epoch=6-batch_idx=0.wav,p294/joint/joint/p294_157-epoch=13-batch_idx=0.wav,i was quietly confident about getting the win.
p302/ref/p302_270.wav,p302/ref/p302_015.wav,p302/mask-FT/FT/p302_254-epoch=11-batch_idx=0.wav,p302/raw/p302_254.wav,p302/FT-mask/mask/p302_254-epoch=18-batch_idx=0.wav,p302/libri_mask-FT/libri_mask/p302_254-epoch=8-batch_idx=0.wav,p302/FT-mask/FT/p302_254-epoch=14-batch_idx=0.wav,p302/joint/joint/p302_254-epoch=8-batch_idx=0.wav,p302/mask-FT/mask/p302_254-epoch=5-batch_idx=0.wav,p302/recon/p302_254.recon.wav,p302/libri_mask-FT/FT/p302_254-epoch=14-batch_idx=0.wav,we are at a crossroads.,p347/ref/p347_364.wav,p347/ref/p347_088.wav,p347/libri_mask-FT/libri_mask/p347_077-epoch=6-batch_idx=0.wav,p347/joint/joint/p347_077-epoch=5-batch_idx=0.wav,p347/mask-FT/mask/p347_077-epoch=5-batch_idx=0.wav,p347/FT-mask/FT/p347_077-epoch=0-batch_idx=0.wav,p347/FT-mask/mask/p347_077-epoch=6-batch_idx=0.wav,p347/recon/p347_077.recon.wav,p347/libri_mask-FT/FT/p347_077-epoch=7-batch_idx=0.wav,p347/raw/p347_077.wav,p347/mask-FT/FT/p347_077-epoch=6-batch_idx=0.wav,one thing is certain.
p227/ref/p227_209.wav,p227/ref/p227_123.wav,p227/mask-FT/FT/p227_085-epoch=6-batch_idx=0.wav,p227/libri_mask-FT/libri_mask/p227_085-epoch=6-batch_idx=0.wav,p227/recon/p227_085.recon.wav,p227/libri_mask-FT/FT/p227_085-epoch=7-batch_idx=0.wav,p227/raw/p227_085.wav,p227/FT-mask/mask/p227_085-epoch=6-batch_idx=0.wav,p227/FT-mask/FT/p227_085-epoch=0-batch_idx=0.wav,p227/joint/joint/p227_085-epoch=5-batch_idx=0.wav,p227/mask-FT/mask/p227_085-epoch=5-batch_idx=0.wav,the latter is due to be finished in february.,p244/ref/p244_403.wav,p244/ref/p244_085.wav,p244/libri_mask-FT/FT/p244_187-epoch=6-batch_idx=0.wav,p244/mask-FT/FT/p244_187-epoch=6-batch_idx=0.wav,p244/raw/p244_187.wav,p244/recon/p244_187.recon.wav,p244/joint/joint/p244_187-epoch=13-batch_idx=0.wav,p244/libri_mask-FT/libri_mask/p244_187-epoch=5-batch_idx=0.wav,p244/mask-FT/mask/p244_187-epoch=5-batch_idx=0.wav,p244/FT-mask/mask/p244_187-epoch=6-batch_idx=0.wav,p244/FT-mask/FT/p244_187-epoch=0-batch_idx=0.wav,it is difficult to say.
p363/ref/p363_200.wav,p363/ref/p363_339.wav,p363/FT-mask/FT/p363_272-epoch=0-batch_idx=0.wav,p363/mask-FT/mask/p363_272-epoch=5-batch_idx=0.wav,p363/recon/p363_272.recon.wav,p363/joint/joint/p363_272-epoch=7-batch_idx=0.wav,p363/FT-mask/mask/p363_272-epoch=5-batch_idx=0.wav,p363/libri_mask-FT/FT/p363_272-epoch=7-batch_idx=0.wav,p363/raw/p363_272.wav,p363/mask-FT/FT/p363_272-epoch=6-batch_idx=0.wav,p363/libri_mask-FT/libri_mask/p363_272-epoch=5-batch_idx=0.wav,we're going to fight it.,p249/ref/p249_133.wav,p249/ref/p249_192.wav,p249/joint/joint/p249_191-epoch=6-batch_idx=0.wav,p249/recon/p249_191.recon.wav,p249/libri_mask-FT/libri_mask/p249_191-epoch=5-batch_idx=0.wav,p249/mask-FT/FT/p249_191-epoch=6-batch_idx=0.wav,p249/libri_mask-FT/FT/p249_191-epoch=6-batch_idx=0.wav,p249/FT-mask/FT/p249_191-epoch=0-batch_idx=0.wav,p249/mask-FT/mask/p249_191-epoch=5-batch_idx=0.wav,p249/FT-mask/mask/p249_191-epoch=6-batch_idx=0.wav,p249/raw/p249_191.wav,it is not fair.
p318/ref/p318_334.wav,p318/ref/p318_107.wav,p318/joint/joint/p318_346-epoch=5-batch_idx=0.wav,p318/mask-FT/FT/p318_346-epoch=6-batch_idx=0.wav,p318/mask-FT/mask/p318_346-epoch=5-batch_idx=0.wav,p318/recon/p318_346.recon.wav,p318/libri_mask-FT/FT/p318_346-epoch=9-batch_idx=0.wav,p318/FT-mask/mask/p318_346-epoch=6-batch_idx=0.wav,p318/libri_mask-FT/libri_mask/p318_346-epoch=8-batch_idx=0.wav,p318/raw/p318_346.wav,p318/FT-mask/FT/p318_346-epoch=0-batch_idx=0.wav,my heart is not so sure.,p361/ref/p361_345.wav,p361/ref/p361_108.wav,p361/libri_mask-FT/libri_mask/p361_114-epoch=6-batch_idx=0.wav,p361/mask-FT/mask/p361_114-epoch=5-batch_idx=0.wav,p361/recon/p361_114.recon.wav,p361/FT-mask/mask/p361_114-epoch=6-batch_idx=0.wav,p361/FT-mask/FT/p361_114-epoch=0-batch_idx=0.wav,p361/mask-FT/FT/p361_114-epoch=6-batch_idx=0.wav,p361/joint/joint/p361_114-epoch=10-batch_idx=0.wav,p361/raw/p361_114.wav,p361/libri_mask-FT/FT/p361_114-epoch=7-batch_idx=0.wav,they have to tell it as it is.
p323/ref/p323_050.wav,p323/ref/p323_119.wav,p323/mask-FT/FT/p323_129-epoch=6-batch_idx=0.wav,p323/libri_mask-FT/FT/p323_129-epoch=6-batch_idx=0.wav,p323/mask-FT/mask/p323_129-epoch=5-batch_idx=0.wav,p323/FT-mask/FT/p323_129-epoch=0-batch_idx=0.wav,p323/FT-mask/mask/p323_129-epoch=6-batch_idx=0.wav,p323/raw/p323_129.wav,p323/libri_mask-FT/libri_mask/p323_129-epoch=5-batch_idx=0.wav,p323/joint/joint/p323_129-epoch=5-batch_idx=0.wav,p323/recon/p323_129.recon.wav,lord sainsbury is not a newcomer.,p361/ref/p361_108.wav,p361/ref/p361_089.wav,p361/FT-mask/mask/p361_323-epoch=6-batch_idx=0.wav,p361/libri_mask-FT/libri_mask/p361_323-epoch=6-batch_idx=0.wav,p361/recon/p361_323.recon.wav,p361/mask-FT/FT/p361_323-epoch=6-batch_idx=0.wav,p361/joint/joint/p361_323-epoch=10-batch_idx=0.wav,p361/mask-FT/mask/p361_323-epoch=5-batch_idx=0.wav,p361/libri_mask-FT/FT/p361_323-epoch=7-batch_idx=0.wav,p361/FT-mask/FT/p361_323-epoch=0-batch_idx=0.wav,p361/raw/p361_323.wav,not that he was complaining.
p248/ref/p248_337.wav,p248/ref/p248_245.wav,p248/libri_mask-FT/FT/p248_025-epoch=7-batch_idx=0.wav,p248/mask-FT/FT/p248_025-epoch=6-batch_idx=0.wav,p248/FT-mask/mask/p248_025-epoch=6-batch_idx=0.wav,p248/mask-FT/mask/p248_025-epoch=5-batch_idx=0.wav,p248/recon/p248_025.recon.wav,p248/FT-mask/FT/p248_025-epoch=0-batch_idx=0.wav,p248/libri_mask-FT/libri_mask/p248_025-epoch=6-batch_idx=0.wav,p248/joint/joint/p248_025-epoch=5-batch_idx=0.wav,p248/raw/p248_025.wav,she is given a new deputy minister for transport and planning.,p241/ref/p241_184.wav,p241/ref/p241_181.wav,p241/recon/p241_279.recon.wav,p241/mask-FT/mask/p241_279-epoch=5-batch_idx=0.wav,p241/FT-mask/mask/p241_279-epoch=6-batch_idx=0.wav,p241/libri_mask-FT/libri_mask/p241_279-epoch=7-batch_idx=0.wav,p241/raw/p241_279.wav,p241/FT-mask/FT/p241_279-epoch=0-batch_idx=0.wav,p241/joint/joint/p241_279-epoch=10-batch_idx=0.wav,p241/mask-FT/FT/p241_279-epoch=6-batch_idx=0.wav,p241/libri_mask-FT/FT/p241_279-epoch=8-batch_idx=0.wav,i saw it at a ruck.
p297/ref/p297_174.wav,p297/ref/p297_417.wav,p297/raw/p297_394.wav,p297/FT-mask/mask/p297_394-epoch=6-batch_idx=0.wav,p297/recon/p297_394.recon.wav,p297/mask-FT/mask/p297_394-epoch=5-batch_idx=0.wav,p297/FT-mask/FT/p297_394-epoch=0-batch_idx=0.wav,p297/libri_mask-FT/libri_mask/p297_394-epoch=6-batch_idx=0.wav,p297/libri_mask-FT/FT/p297_394-epoch=7-batch_idx=0.wav,p297/joint/joint/p297_394-epoch=6-batch_idx=0.wav,p297/mask-FT/FT/p297_394-epoch=6-batch_idx=0.wav,i ran to get out of the way.,p268/ref/p268_406.wav,p268/ref/p268_283.wav,p268/libri_mask-FT/libri_mask/p268_381-epoch=5-batch_idx=0.wav,p268/mask-FT/FT/p268_381-epoch=6-batch_idx=0.wav,p268/libri_mask-FT/FT/p268_381-epoch=6-batch_idx=0.wav,p268/recon/p268_381.recon.wav,p268/mask-FT/mask/p268_381-epoch=5-batch_idx=0.wav,p268/joint/joint/p268_381-epoch=7-batch_idx=0.wav,p268/FT-mask/FT/p268_381-epoch=0-batch_idx=0.wav,p268/raw/p268_381.wav,p268/FT-mask/mask/p268_381-epoch=6-batch_idx=0.wav,another casualty yesterday was john prescott.
p270/ref/p270_319.wav,p270/ref/p270_153.wav,p270/joint/joint/p270_176-epoch=5-batch_idx=0.wav,p270/mask-FT/FT/p270_176-epoch=6-batch_idx=0.wav,p270/mask-FT/mask/p270_176-epoch=5-batch_idx=0.wav,p270/FT-mask/FT/p270_176-epoch=0-batch_idx=0.wav,p270/libri_mask-FT/libri_mask/p270_176-epoch=6-batch_idx=0.wav,p270/raw/p270_176.wav,p270/libri_mask-FT/FT/p270_176-epoch=7-batch_idx=0.wav,p270/recon/p270_176.recon.wav,p270/FT-mask/mask/p270_176-epoch=6-batch_idx=0.wav,they could not match it.,p239/ref/p239_177.wav,p239/ref/p239_108.wav,p239/joint/joint/p239_318-epoch=8-batch_idx=0.wav,p239/FT-mask/FT/p239_318-epoch=0-batch_idx=0.wav,p239/recon/p239_318.recon.wav,p239/mask-FT/mask/p239_318-epoch=5-batch_idx=0.wav,p239/raw/p239_318.wav,p239/mask-FT/FT/p239_318-epoch=6-batch_idx=0.wav,p239/libri_mask-FT/FT/p239_318-epoch=9-batch_idx=0.wav,p239/FT-mask/mask/p239_318-epoch=4-batch_idx=0.wav,p239/libri_mask-FT/libri_mask/p239_318-epoch=8-batch_idx=0.wav,the result is utterly compelling.
p298/ref/p298_157.wav,p298/ref/p298_248.wav,p298/libri_mask-FT/libri_mask/p298_095-epoch=5-batch_idx=0.wav,p298/libri_mask-FT/FT/p298_095-epoch=8-batch_idx=0.wav,p298/mask-FT/FT/p298_095-epoch=7-batch_idx=0.wav,p298/FT-mask/mask/p298_095-epoch=6-batch_idx=0.wav,p298/FT-mask/FT/p298_095-epoch=1-batch_idx=0.wav,p298/raw/p298_095.wav,p298/recon/p298_095.recon.wav,p298/joint/joint/p298_095-epoch=13-batch_idx=0.wav,p298/mask-FT/mask/p298_095-epoch=5-batch_idx=0.wav,the premier league has been a huge success.,p313/ref/p313_148.wav,p313/ref/p313_166.wav,p313/FT-mask/FT/p313_241-epoch=0-batch_idx=0.wav,p313/libri_mask-FT/FT/p313_241-epoch=6-batch_idx=0.wav,p313/FT-mask/mask/p313_241-epoch=6-batch_idx=0.wav,p313/mask-FT/FT/p313_241-epoch=6-batch_idx=0.wav,p313/recon/p313_241.recon.wav,p313/libri_mask-FT/libri_mask/p313_241-epoch=5-batch_idx=0.wav,p313/joint/joint/p313_241-epoch=7-batch_idx=0.wav,p313/mask-FT/mask/p313_241-epoch=5-batch_idx=0.wav,p313/raw/p313_241.wav,world leaders expressed their sympathy.
